date,weekday,activity,feelings,mood,keywords
2025-12-28,Söndag,Långlöpning 10km,Utmattad men stolt,Positivt,"Löpning, Träning"
2025-12-29,Måndag,Läste en bok hela dagen,Intellektuellt stimulerad,Positivt,"Läsning, Kultur, Avkoppling"
2025-12-30,Tisdag,Planerade nyårsmiddagen,Stressad över detaljer,Negativt,"Planering, Stress, Fest"
2025-12-31,Onsdag,Nyårsfest,Festlig och hoppfull,Positivt,"Fest, Nyår, Socialt"
2026-01-01,Torsdag,Nyårsdagen (pizza),Seg och bakis,Negativt,"Baksmälla, Mat"
2026-01-02,Fredag,Tillbaka till rutiner städade ut julen,Vemodig,Negativt,"Städning, Vardag"
2026-01-03,Lördag,Testade Whisper för röstigenkänning,Imponerad,Positivt,"Whisper, AI, Teknik"
2026-01-04,Söndag,Promenad i snöstorm,Kall men uppfriskad,Positivt,"Promenad, Väder"
2026-01-05,Måndag,Klämdag jobbade lite hemifrån,Omotiverad,Negativt,"Jobb, Hemmakontor"
2026-01-06,Tisdag,Ledig dag fixade med nätverket hemma,Nöjd problemlösare,Positivt,"Nätverk, Teknik, Hem"
2026-01-07,Onsdag,Första riktiga arbetsdagen efter jul,Chockad över tempot,Negativt,"Jobb, Stress, Vardag"
2026-01-08,Torsdag,Glömde ett viktigt möte,Skärrad och ångestfylld,Negativt,"Misstag, Jobb, Ångest"
2026-01-09,Fredag,Fredagsfika och tidig hemgång,Avslappnad,Positivt,"Jobb, Fika, Vila"
2026-01-10,Lördag,Bio med partner,Kärleksfull,Positivt,"Bio, Relation, Dejt"
2026-01-11,Söndag,Söndagsmealprep inför veckan,Organiserad,Positivt,"Matlagning, Rutiner, Förberedelser"
2026-01-12,Måndag,Mörkt när jag gick mörkt när jag kom hem,Deppig över vintern,Negativt,"Mörker, Vinter, Väder"
2026-01-13,Tisdag,Bra flyt i Python-koden,"I ""zonen""",Positivt,"Python, Kodning, Flow"
2026-01-14,Onsdag,Fick beröm av chefen,Uppskattad,Positivt,"Jobb, Bekräftelse, Karriär"
2026-01-15,Torsdag,Huvudvärk hela dagen,Smärtpåverkad och sur,Negativt,"Hälsa, Smärta"
2026-01-16,Fredag,AW med brädspel,Tävlingsinriktad och glad,Positivt,"AW, Spel, Socialt"
2026-01-17,Lördag,Sov till 11:00,Utsövd,Positivt,"Sömn, Helg"
2026-01-18,Söndag,Fixade Streamlit-dashboarden,Konstnärlig,Positivt,"Streamlit, Kodning, Dashboard"
2026-01-19,Måndag,Måndagsmöten hela förmiddagen,Uttråkad,Negativt,"Möten, Jobb"
2026-01-20,Tisdag,Projektstart för Sprint 1,Taggad och redo,Positivt,"Jobb, Projekt, Sprint"
2026-01-21,Onsdag,Börjat ett nytt grupprojekt,Mycket exalterad och positiv,Positivt,"Skola, Projekt, Grupparbete"
2026-01-22,Torsdag,Sitter med mina två kompisar,Jättekul,Positivt,"Vänner, Socialt"
2026-01-22,Torsdag,Kompisar var dumma,Ledsen,Negativt,"Konflikt, Vänner"
2026-01-22,Torsdag,Tänkte på ord och försökte förstå,Tankfull,Positivt,"Reflektion, Tankar"
2026-01-22,Torsdag,Något är på gång och jag hoppas det fungerar,Glad,Positivt,"Förväntan, Hopp"
2026-01-26,Måndag,Kört barnen till skolan,Avslappnad,Positivt,"Familj, Rutiner"
2026-01-26,Måndag,Lek med ungarna,Skönt,Positivt,"Familj, Lek"
2026-01-29,Torsdag,Var ut i skogen,lugnt och skönt,Positivt,Skogen
2026-01-29,Torsdag,Spelat basket och skadat foten,Ont,Negativt,"Basket, Skada"
2026-01-30,Fredag,Legat i sängen och slöat,Utvilad,Positivt,Vila
2026-01-29,Fredag,Lirat gura och spelat allan för 14 tanter i svarta trikåer,Självsäker,Positivt,"Musik, uppträdande"
2026-02-02,Måndag,Suttit stilla länge,Trött och utsliten,Negativt,Trötthet
